"Cantone","Nazionalità",,"Persone attive (giovane)"
"Zurigo","stranieri",,"17'384"
"Zurigo","svizzeri",,"74'226"
"Berna","stranieri",,"7'718"
"Berna","svizzeri",,"64'696"
"Lucerna","stranieri",,"4'615"
"Lucerna","svizzeri",,"26'829"
"Uri","stranieri",,"252"
"Uri","svizzeri",,"2'787"
"Svitto","stranieri",,"1'916"
"Svitto","svizzeri",,"9'960"
"Obwaldo","stranieri",,"310"
"Obwaldo","svizzeri",,"2'646"
"Nidwaldo","stranieri",,"198"
"Nidwaldo","svizzeri",,"3'133"
"Glarona","stranieri",,"823"
"Glarona","svizzeri",,"2'599"
"Zugo","stranieri",,"1'293"
"Zugo","svizzeri",,"6'091"
"Friburgo","stranieri",,"4'490"
"Friburgo","svizzeri",,"16'957"
"Soletta","stranieri",,"4'165"
"Soletta","svizzeri",,"15'908"
"Basilea-Città","stranieri",,"2'743"
"Basilea-Città","svizzeri",,"6'466"
"Basilea-Campagna","stranieri",,"3'256"
"Basilea-Campagna","svizzeri",,"13'298"
"Sciaffusa","stranieri",,"1'271"
"Sciaffusa","svizzeri",,"4'701"
"Appenzello Esterno","stranieri",,"437"
"Appenzello Esterno","svizzeri",,"3'975"
"Appenzello Interno","stranieri",,"70"
"Appenzello Interno","svizzeri",,"1'489"
"San Gallo","stranieri",,"8'506"
"San Gallo","svizzeri",,"34'813"
"Grigioni","stranieri",,"1'735"
"Grigioni","svizzeri",,"12'232"
"Argovia","stranieri",,"10'356"
"Argovia","svizzeri",,"36'653"
"Turgovia","stranieri",,"4'352"
"Turgovia","svizzeri",,"17'829"
"Ticino","stranieri",,"3'525"
"Ticino","svizzeri",,"12'065"
"Vaud","stranieri",,"12'279"
"Vaud","svizzeri",,"32'228"
"Vallese","stranieri",,"4'883"
"Vallese","svizzeri",,"17'622"
"Neuchâtel","stranieri",,"2'812"
"Neuchâtel","svizzeri",,"9'023"
"Ginevra","stranieri",,"6'364"
"Ginevra","svizzeri",,"13'344"
"Giura","stranieri",,"516"
"Giura","svizzeri",,"4'670"
